IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
18.162.32.152,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,176,21.61
8.210.55.134,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",174,20.52
43.132.167.112,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",169,20.27
23.26.217.56,20443,TRUE,HKG,HK,Asia Pacific,Hong Kong,51847,Nearoute Limited,335,20.03
8.210.245.224,2096,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",206,19.97
47.243.203.119,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",185,16.87
8.222.150.197,2087,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",321,16.80
47.243.203.119,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",177,15.00
8.218.3.12,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",180,12.90
8.210.3.24,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",188,11.08
8.218.3.12,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",190,10.85
8.210.3.24,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",211,10.50
18.167.194.154,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,162,10.06
8.210.245.224,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",202,9.82
8.217.85.14,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",216,9.26
38.207.143.37,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,198100,WAP.AC LTD,320,9.26
27.115.117.197,32813,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,595,8.83
8.218.22.210,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",181,8.46
27.115.117.197,12236,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,609,7.84
49.143.123.158,10513,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,602,7.62
115.91.95.202,35285,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,361,7.18
38.47.120.61,14525,TRUE,HKG,HK,Asia Pacific,Hong Kong,198100,WAP.AC LTD,181,7.01
115.91.95.202,14231,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,359,6.97
49.143.123.158,19806,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,190,6.94
121.171.77.120,10977,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,289,6.80
218.232.46.4,30704,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,376,6.65
128.134.19.45,11565,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,362,6.64
115.91.95.202,27890,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,314,6.57
123.142.105.38,16055,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,307,6.56
221.145.223.88,19885,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,307,6.56
115.91.127.251,17508,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,386,6.56
27.115.117.197,38912,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,664,6.52
49.142.147.27,31885,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,624,6.46
27.115.117.197,29163,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,636,6.20
115.91.95.202,29902,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,304,6.15
222.120.203.187,19228,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,295,6.08
59.148.136.12,15016,TRUE,HKG,HK,Asia Pacific,Hong Kong,9269,Hong Kong Broadband Network Ltd.,177,6.04
222.99.156.159,22625,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,319,6.03
58.125.118.230,12721,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,361,5.94
49.142.147.27,22389,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,223,5.93
